Name,Author,Publisher,Rating,Review Count,Sale Rank,Original Price,Sale Price,category
ETS 토익기출 파트별 VOCA 보카,ETS 저,YBM(와이비엠),9.7,166,"| 판매지수 191,415 판매지수란?","13,000원","11,700원",영어
해커스 토익 RC Reading(리딩) 기본서,David Cho 저,해커스어학연구소,9.8,189,"| 판매지수 184,164 판매지수란?","18,800원","16,920원",영어
부자 아빠 가난한 아빠 20주년 특별 기념판,로버트 기요사키 저/안진환 역,민음인,9.6,"1,780","| 판매지수 135,219 판매지수란?","17,000원","15,300원",투자/재테크
김재우의 영어회화 100,김재우 저,상상스퀘어,9.3,140,"| 판매지수 111,462 판매지수란?","22,000원","19,800원",영어
읽으면서 바로 써먹는 어린이 스도쿠 : 학교 괴담,한날 글그림,파란정원,10.0,23,"| 판매지수 39,498 판매지수란?","13,000원","11,700원",1-2학년
5만원 5일 집밥,지미테이블 저,길벗,9.8,10,"| 판매지수 9,174 판매지수란?","19,800원","17,820원",요리
한국인의 탄생,홍대선 저,메디치미디어,10.0,2,"| 판매지수 15,411 판매지수란?","20,000원","18,000원",인문/교양
김재우의 구동사 100,김재우 저,상상스퀘어,9.5,12,"| 판매지수 40,968 판매지수란?","25,000원","22,500원",영어
회복하는 인간,한강 저,아시아,9.4,34,"| 판매지수 38,073 판매지수란?","9,500원","8,550원",한국소설
흔한남매 과학 탐험대 11 여러 가지 힘,"흔한남매 원저/김언정, 송은경 글/김덕영 그림/김희목 기획 외 3명 정보 더 보기/감추기",주니어김영사,9.8,98,"| 판매지수 71,028 판매지수란?","14,800원","13,320원",1-2학년
ETS 토익 단기공략 750+ (LC+RC),ETS 저,YBM(와이비엠),9.6,303,"| 판매지수 176,490 판매지수란?","18,000원","16,200원",영어
최소한의 한국사,최태성 저,프런트페이지,9.8,569,"| 판매지수 242,763 판매지수란?","18,000원","16,200원",한국사/한국문화
삶으로 다시 떠오르기,에크하르트 톨레 저/류시화 역,연금술사,9.4,209,"| 판매지수 30,465 판매지수란?","24,000원","21,600원",삶의 자세와 지...
허송세월,김훈 저,나남,9.3,133,"| 판매지수 164,535 판매지수란?","18,000원","16,200원",한국 에세이
챗GPT 교사 마스터 플랜,한민철 저,책바세,9.8,23,"| 판매지수 57,120 판매지수란?","24,000원","21,600원",인공지능
도둑맞은 집중력,요한 하리 저/김하현 역,어크로스,8.8,938,"| 판매지수 329,829 판매지수란?","18,800원","16,920원",심리
감정 호텔,리디아 브란코비치 글그림/장미란 역,책읽는곰,10.0,56,"| 판매지수 80,400 판매지수란?","15,000원","13,500원",4-6세
나는 메트로폴리탄 미술관의 경비원입니다,"패트릭 브링리 저/김희정, 조현주 역",웅진지식하우스,8.9,476,"| 판매지수 446,799 판매지수란?","17,500원","15,750원",외국 에세이
더 좋은 문장을 쓰고 싶은 당신을 위한 필사책,이주윤 저,빅피시,9.6,46,"| 판매지수 43,932 판매지수란?","22,000원","19,800원",글쓰기
좋은 일이 오려고 그러나 보다 (리커버판),박여름 저,히읏,9.3,80,"| 판매지수 157,527 판매지수란?","16,800원","15,120원",한국 에세이
B주류경제학,"이재용, 토스 저",오리지널스,10.0,1,"| 판매지수 15,942 판매지수란?","19,800원","17,820원",경제
머니코치 최준호의 네이버 3대장 마케팅,최준호 저,한빛미디어,10.0,2,"| 판매지수 10,290 판매지수란?","22,000원","19,800원",인터넷 비즈니스
뿐이 토핑 이유식,정주희 저/이수진 감수,서사원,9.6,51,"| 판매지수 113,976 판매지수란?","29,800원","26,820원",요리
국어 잘하는 아이가 이깁니다,나민애 저,김영사,9.8,171,"| 판매지수 169,197 판매지수란?","17,500원","15,750원",자녀교육
이태원으로 연결합니다,"김혜영, 이상민, 노호태, 신솔아, 신정임 저 외 4명 정보 더 보기/감추기",플레이아데스,10.0,2,"| 판매지수 6,384 판매지수란?","20,000원","18,000원",한국 에세이
기억 전달자,로이스 라우리 저/장은수 역,비룡소,9.9,25,"| 판매지수 41,376 판매지수란?","16,000원","14,400원",청소년 문학
바깥은 여름,김애란 저,문학동네,9.2,851,"| 판매지수 32,472 판매지수란?","14,500원","13,050원",테마소설
해독 혁명,닥터 라이블리 저,웅진지식하우스,9.9,88,"| 판매지수 68,610 판매지수란?","18,500원","16,650원",건강에세이/건강...
해커스 여행일본어 10분의 기적,해커스 일본어연구소 저,해커스어학연구소,9.7,104,"| 판매지수 84,378 판매지수란?","9,800원","8,820원",일본어
마흔과 오십 사이,최종엽 저,유노북스,10.0,2,"| 판매지수 11,679 판매지수란?","18,000원","16,200원",처세술/삶의 자...
